id,Title,Release_Year,Genre,Synopsis
10,Москва слезам не верит,1979,драма,"Визитная карточка режиссера Владимира Меньшова «Москва слезам не верит» стала третьей по счету советской картиной, удостоенной кинопремии «Оскар». Изначально принятая отечественными критиками довольно прохладно, лента, тем не менее, обрела невероятную популярность и зрительскую любовь. Смотреть онлайн эту жизнеутверждающую мелодраму можно в нашем интернет-кинотеатре.
Судьбы трех подруг - Катерины, Людмилы и Антонины, приехавших покорять столицу, сложатся по-разному. У одной, скромной и тихой, все обойдется без головокружительных взлетов, но и без болезненных приземлений. Другая всю жизнь проведет в погоне за «всем и сразу». А на долю третьей тяжелые испытания выпадут в самом начале жизненного пути. Именно ее история станет сюжетным стержнем повествования. Молодость пролетит стремительно и, пробивая себе дорогу, гордая Катя уже не мечтает о простом женском счастье, но оно ее неминуемо настигнет в лице надежного Георгия Ивановича (он же Гога, он же Гоша, он же Юрий, он же Гора, он же Жора). И Москва обязательно поверит их любви."
11,Большая перемена,1972,мелодрама,"Знаменитая советская комедия, собравшая поистине блистательное созвездие актеров – в фильме снялись Михаил Кононов, Светлана Крючкова, Евгений Леонов, Савелий Крамаров, Ролан Быков и многие другие. Эта смешная и трогательная история о взрослых школьниках и их неопытном учителе завоевала всенародную любовь, а для современных зрителей стала «окном» в светлую идеалистическую юность 1970-х годов.

Старомодный и высокомерный историк Нестор Северов на экзаменах в аспирантуру уступает своей более «продвинутой» невесте Полине. Поддаваясь чувству обреченности, он порывает и с мечтой о науке, и с любимой девушкой и устраивается работать в вечернюю школу, где учатся взрослые работающие люди, а преподают исключительно женщины. Молодому и никем не уважаемому Нестору Петровичу приходится разбираться с рабочими и семейными проблемами своих великовозрастных учеников. Среди них – влюбленная в него красавица Нелли и ее до смущения заботливый отец, женатый на учительнице хулиган Григорий Ганжа, нерадивый прогульщик Геннадий Ляпишев, а также Ваня Федоскин – давний поклонник покинутой красавицы Полины.

Для того чтобы узнать, как справится Нестор Петрович со своим учительским долгом, рекомендуем смотреть онлайн нестареющую добрую комедию «Большая перемена»."
12,Служебный роман,1977,драма,"В нашем кинотеатре вы найдете большое собрание советской классики, среди которой есть и двухсерийная мелодрама Эльдара Рязанова «Служебный роман», которую можно посмотреть онлайн. Эту классическую историю в нашей стране знает, наверное, каждый. А песни и некоторые реплики уже давно прочно вошли в обиход не одного поколения отечественных зрителей. Рядовой советский служащий по фамилии Новосельцев однажды решает заявить о себе в надежде на повышение. Однако с помощью своей работы ему это сделать не удается, поэтому он по совету сослуживца принимается ухаживать за своей начальницей. Строгая и совершенно непробиваемая Калугина на первый взгляд устойчива к любым проявлениям чувств, но оказывается, что в душе она романтик и ждет простого женского счастья. Ухаживания Новосельцева пробуждают в ней давно спящие и от этого новые эмоции, которые дают начало служебному роману. Калугина меняется буквально на глазах, постепенно превращаясь в благоухающую и счастливую женщину в расцвете сил. Наблюдая за переменами начальницы, Новосельцев вскоре забывает о своей корыстной цели, полностью отдавшись искреннему и сильному чувству."
13,Собачье сердце,1988,фантастика,"Двухсерийная экранизация повести Михаила Булгакова «Собачье сердце», которую долгое время не издавали из-за явной антисоветской тематики. Произведение было официально издано в 1987-м, за год до выхода фильма «Собачье сердце», который можно посмотреть онлайн в нашем интернет-кинотеатре. События разворачиваются в середине двадцатых годов, когда в стране уже прочно укрепилась новая Советская власть. Талантливый и опытный хирург, профессор Преображенский решает проверить свою давнюю теорию, предприняв небывалый эксперимент. Суть опытов заключалась в том, что пересадив некоторые важные органы человека животному, можно ускорить эволюцию последнего. Преображенский вместе со своим молодым помощником Борменталем ловят на улице бездомного пса по кличке Шарик и спустя некоторое время приступают к операции. Из тела погибшего алкоголика врачи извлекают гипофиз и семенные железы, после чего пересаживают их собаке. Ко всеобщему удивлению, пес постепенно начинает принимать человеческий облик, однако окончательный результат станет для профессора очередным доказательством, что пес всегда останется псом."
14,Офицеры (цветная версия),1971,военный,"Смотрите цветную версию советской киноклассики на ivi! Познакомившись во время войны, молодые офицеры Алексей Трофимова и Иван Варавва стали настоящими друзьями, проверенными огнем сражений. Долгие годы судьба не уставала сводить их жизненные пути.

Драма, изначально задуманная как двухсерийная история о трудной судьбе офицерских жен, трансформировалась в песнь офицерству и преемственности военного призвания. Фильм стал лидером советского кинопроката и помирил на съемочной площадке исполнителей главных ролей: Георгия Юматова и Василия Ланового. Высокопоставленным «родителем» картины считается А.А.Гречко, министр обороны СССР, фраза которого «Есть такая профессия - Родину защищать» стала визитной карточкой фильма.

Вновь друзья встречаются в Китайской народной республике, которой СССР оказывает помощь в войне с Японией. На Великую Отечественную войну Алексей Трофимов отправляется вместе с возмужавшим сыном Егором, супруга которого Маша тоже рвется на передовую, оставляя маленького сына Ивана на попечение бабушки Любы, вставшей во главе передвижного госпиталя.

Эпическую военную драму «Офицеры» можно посмотреть в нашем онлайн-кинотеатре."
15,Анатолий Крупнов. Он был...,2019,документальный,"История жизни Анатолия Крупнова – одного из самых влиятельных музыкантов отечественного рока, основателя группы «Черный обелиск», участника коллективов «Неприкасаемые», «ДДТ» и «Воскресение».
Музыкант, вокалист, бас-гитарист-виртуоз, композитор, поэт, актер – все это один человек, Анатолий Крупнов. Харизматичный, энергичный, смелый, он стал важнейшей фигурой на рок-сцене 90-х и навсегда изменил советскую и российскую музыку. Этого уникального басиста мечтали заполучить сотни групп, а его песни остаются актуальными и сегодня.
«Анатолий Крупнов. Он был» – рассказ не только о музыканте и человеке, но и об эпохе и поколении в целом. В фильме показаны музыка и идеи, которые двигали рокерами конца 20 века. В картине приняли участие известные музыканты: Гарик Сукачев, Юрий Шевчук и Сергей Воронов, дружившие и работавшие с Крупновым. Герои поделились своими воспоминаниями и рассказали, каким он был.
Если вам хочется познакомиться с личностью Анатолия Крупнова, узнать больше о советской рок-музыке и погрузиться в атмосферу безумных 90-х, посмотрите этот фильм в нашем онлайн-кинотеатре."
16,Белые росы,1984,драма,"Деревне Белые Росы предписано влиться в строящийся город. Деревянные дома назначены под слом, жителям выдают ордера на квартиры в новостройках. Одни жители рады переезду, другие – никак не могут расстаться с малой родиной.
История переезда показана на примере семьи ветерана Федоса Ходаса. У старика трое взрослых сыновей: старший Андрей женат, расчетлив и бездетен, средний Сашка с юных лет работает на Севере, младший Василий женился на женщине, которая не может забыть свою первую любовь. Андрей с женой уговаривают старика съехаться, ведь в таком случае им дадут трехкомнатную квартиру, но Федосу эта мысль не по душе, ведь тогда Сашке просто некуда будет возвращаться. Василий узнает, что дочку, которую он считал своей, жена родила от своего непутевого ухажера, который теперь вернулся и снова кружит ей голову. Василий предлагает жене развод и оставляет ей с дочкой новую квартиру, а сам ночует в деревенском доме, приготовленном под снос. Как Федосу удалось сохранить доброе отношение в семье и одновременно решить квартирный вопрос, вы узнаете, начав смотреть онлайн комедию «Белые Росы»."
17,Противостояние (1985),1985,детектив,"Семен Аранович снял лучший фильм по повести Юлиана Семенова. Смотрите онлайн «Противостояние» и наслаждайтесь каждой минутой этого сериала. Отличная работа режиссера, непревзойденное мастерство Олега Басилашвили и Андрей Болтнев в главных ролях – это залог того, что фильм вам обязательно понравится. В этом детективном киноромане расследуется убийство в одной из российских глубинок. Но дело сначала идет плохо. Сперва не могут найти подозреваемого Григория Меленко, потом выясняется, что человек с таким именем погиб во время войны. Становится очевидно, что история очень темная, раз кому-то понадобилось жить мертвой душой. Расследование движется дальше, и перед нами непростые жизненные ситуации, в которых оказываются главные герои. И самая непростая из них – это жизнь того, кто совершил преступление. У фильма сильный идеологический подтекст, но найти более правдивую и настоящую киноисторию сложно. Осознание себя человеком, вопрос главных ценностей и ориентиров не дадут спокойно выключить экран и забыть увиденное."
18,Формула любви,1984,мелодрама,"Комедия Марка Захарова с танцами и песнями по сценарию Григория Горина, в основу которого легла повесть Алексея Толстого ""Граф Калиостро"". В 1780 году Джузеппе Бальзамо, именующий себя графом Калиостро, магистром тайных сил и чародеем, прибывает в Петербург. В столице он дает ряд неудачных гастролей, вызывает подозрение в мошенничестве и, преследуемый гвардейцами, уезжает в провинцию. Калиостро делает остановку в доме одного доверчивого и хворого помещика. Граф обещает излечить больного, если тот отпустит вместе с ним дочь – красавицу Машу, в которой Калиостро надеется разбудить любовь в рамках эксперимента по выведению формулы этого сложного чувства. Следующий этап путешествия – поместье молодого дворянина Федяшева. Юноша влюблен в мраморное изваяние и надеется, что всемогущий маг оживит его."
19,Помни имя свое,1974,драма,"Правдивая история о матери и сыне, разлученных в Освенциме и увидевшихся вновь 25 лет спустя, легла в основу одного из самых известных фильмов Народного артиста СССР Сергея Колосова. Его душераздирающая драма о трагедии войны вне поля боя «Помни имя свое» собрала в кинотеатрах более 35 миллионов зрителей и взяла главных приз на VIII Всесоюзном фестивале. Непридуманную героиню, пережившую концлагерь, сыграла жена режиссера, звезда советского кино Людмила Касаткина. Вместе с ней в фильме снимались другие именитые актеры: Людмила Иванова, Лилия Давидович, Леон Немчик, Владимир Ивашов.

Не успела счастливая роженица Зинаида Воробьева познать радость материнства, как на ее землю вступили фашисты. Плененная вместе с крохой-сыном Геной она отправляется в лагерь смерти. Именно здесь маленький Гена говорит свое первое слово, делает первый шаг, знакомится с миром, где нет ничего, кроме тесных бараков, жестокости, голода и ужаса. Главный детский страх – расставание с матерью – претворяется в жизнь, когда надзиратели забирают мальчика у Зины. В прощальном крике она заклинает Гену помнить свое имя и свою мать. Но разлука, которая до старости терзает несчастную женщину, стирается из памяти ребенка, попавшего в другую страну и в другую семью.

Для того чтобы хранить память о потерях и неустранимых последствиях войны, рекомендуем смотреть онлайн фильм «Помни имя свое»."
20,[4k] Счастье в конверте,2020,мелодрама,"Смотрите в 4К! Три сотрудницы почтового отделения собираются вместе после работы и делятся удивительными историями о людях, чья жизнь изменилась благодаря бумажным письмам, человеческой теплоте и вере в лучшее.

Первая история «Последние романтики» рассказывает о двух старых друзьях, бывших боевых товарищах. Один из них мечтает основать в округе небольшой музей, а второй – отправиться в кругосветное путешествие. И кажется, его авантюрная мечта скоро исполнится... Новелла «Куда уходят поезда» – это трогательная история знакомства одинокой бабушки, бесцельно сидящей на вокзале, и обычной семейной женщины, которая просто не может пройти мимо. Неравнодушие – дар, приносящий счастье. Заключительная история «Подарок Деда Мороза» поведает о маленьком мальчике, живущем только с дедушкой и часто слышащем насмешки из-за их бедности. Под Новый год он пишет письмо с просьбой о дорогих игрушках, чтобы привлечь ими ребят, но получает в подарок нечто куда более ценное. 

Теплый, пронзительный и светлый фильм режиссера Светланы Сухановой «Счастье в конверте» можно посмотреть онлайн."
21,Покровские ворота,1982,комедия,"Культовая комедия замечательного советского режиссера Михаила Казакова. Благодаря блестящей актерской игре, великолепной режиссуре и драматургии фильм стал легендой своего времени и до сих пор остается шедевром советского киноискусства. В нашем кинотеатре вы имеете прекрасную возможность посмотреть этот фильм онлайн. 
Москва, осень 1956 года. Молодой озорник и хулиган Костик прожигает жизнь, а попутно учится в аспирантуре МГУ. Живет он в коммунальной квартире своей тетушки, которая находится на Покровских воротах. Вместе с ним проживает артист Велюров, скромный литератор Лев Евгеньевич Хоботов, его бывшая жена Маргарита Павловна и ее новый муж Савва Игнатьевич. В этой тесной квартире герои ссорятся, мирятся, разводятся, женятся и с упоением выясняют отношения. Маргарита Павловна пытается контролировать жизнь бывшего мужа, Велюров выпивает и трепетно репетирует свой репертуар, а Костик встречается с очередной девушкой. Режиссером фильма с юмором показана жизнь творческой интеллигенции в условиях тесной коммунальной квартиры."
